la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000009,Ealing,1,2019,-0.38424565789473686,51.539824657894734,9,10,0,1,8,30,1,3,3,3
E09000009,Ealing,1,2020,-0.38424565789473686,51.539824657894734,9,11,0,1,8,30,1,3,3,3
E09000009,Ealing,1,2021,-0.38424565789473686,51.539824657894734,13,14,0,3,10,30,1,3,3,3
E09000009,Ealing,1,2022,-0.38424565789473686,51.539824657894734,7,9,0,1,6,30,1,3,3,3
E09000009,Ealing,1,2023,-0.38424565789473686,51.539824657894734,8,15,0,0,8,30,1,3,3,3
E09000009,Ealing,1,2024,-0.38424565789473686,51.539824657894734,8,8,0,0,0,30,1,3,3,3
E09000009,Ealing,1,2025,-0.38424565789473686,51.539824657894734,1,1,0,0,0,30,1,3,3,3
E09000009,Ealing,2,2019,-0.34716318072289154,51.53592734939759,18,28,0,1,17,20,1,3,1,1
E09000009,Ealing,2,2020,-0.34716318072289154,51.53592734939759,21,23,0,1,20,20,1,3,1,1
E09000009,Ealing,2,2021,-0.34716318072289154,51.53592734939759,16,17,0,1,15,20,1,3,1,1
E09000009,Ealing,2,2022,-0.34716318072289154,51.53592734939759,16,20,0,1,15,20,1,3,1,1
E09000009,Ealing,2,2023,-0.34716318072289154,51.53592734939759,9,9,0,2,7,20,1,3,1,1
E09000009,Ealing,2,2024,-0.34716318072289154,51.53592734939759,11,12,0,0,0,20,1,3,1,1
E09000009,Ealing,2,2025,-0.34716318072289154,51.53592734939759,2,2,0,0,0,20,1,3,1,1
E09000009,Ealing,3,2019,-0.36392186666666665,51.529841266666665,4,5,0,0,4,20,1,4,6,3
E09000009,Ealing,3,2020,-0.36392186666666665,51.529841266666665,2,2,0,0,2,20,1,4,6,3
E09000009,Ealing,3,2021,-0.36392186666666665,51.529841266666665,4,5,0,1,3,20,1,4,6,3
E09000009,Ealing,3,2022,-0.36392186666666665,51.529841266666665,6,6,0,0,6,20,1,4,6,3
E09000009,Ealing,3,2023,-0.36392186666666665,51.529841266666665,2,2,0,0,2,20,1,4,6,3
E09000009,Ealing,3,2024,-0.36392186666666665,51.529841266666665,4,5,0,0,0,20,1,4,6,3
E09000009,Ealing,3,2025,-0.36392186666666665,51.529841266666665,1,1,0,0,0,20,1,4,6,3
E09000009,Ealing,4,2019,-0.37144505,51.49427805,3,4,0,0,3,20,1,3,6,3
E09000009,Ealing,4,2020,-0.37144505,51.49427805,3,4,0,0,3,20,1,3,6,3
E09000009,Ealing,4,2021,-0.37144505,51.49427805,2,2,0,1,1,20,1,3,6,3
E09000009,Ealing,4,2022,-0.37144505,51.49427805,1,1,0,0,1,20,1,3,6,3
E09000009,Ealing,4,2023,-0.37144505,51.49427805,6,6,0,0,6,20,1,3,6,3
E09000009,Ealing,4,2024,-0.37144505,51.49427805,3,3,0,0,0,20,1,3,6,3
E09000009,Ealing,4,2025,-0.37144505,51.49427805,6,6,0,0,0,20,1,3,6,3
E09000009,Ealing,5,2019,-0.37196643103448274,51.53248751724138,6,6,0,0,6,20,1,4,1,1
E09000009,Ealing,5,2020,-0.37196643103448274,51.53248751724138,7,8,0,1,6,20,1,4,1,1
E09000009,Ealing,5,2021,-0.37196643103448274,51.53248751724138,14,14,0,1,13,20,1,4,1,1
E09000009,Ealing,5,2022,-0.37196643103448274,51.53248751724138,12,12,0,2,10,20,1,4,1,1
E09000009,Ealing,5,2023,-0.37196643103448274,51.53248751724138,10,11,0,0,10,20,1,4,1,1
E09000009,Ealing,5,2024,-0.37196643103448274,51.53248751724138,10,10,0,0,0,20,1,4,1,1
E09000009,Ealing,5,2025,-0.37196643103448274,51.53248751724138,3,3,0,0,0,20,1,4,1,1
E09000009,Ealing,6,2019,-0.3087565,51.53201893333333,8,17,0,0,8,40,1,3,3,0
E09000009,Ealing,6,2020,-0.3087565,51.53201893333333,5,8,0,0,5,40,1,3,3,0
E09000009,Ealing,6,2021,-0.3087565,51.53201893333333,4,5,0,0,4,40,1,3,3,0
E09000009,Ealing,6,2022,-0.3087565,51.53201893333333,5,7,0,1,4,40,1,3,3,0
E09000009,Ealing,6,2023,-0.3087565,51.53201893333333,6,6,0,2,4,40,1,3,3,0
E09000009,Ealing,6,2024,-0.3087565,51.53201893333333,1,1,0,0,0,40,1,3,3,0
E09000009,Ealing,6,2025,-0.3087565,51.53201893333333,1,1,0,0,0,40,1,3,3,0
E09000009,Ealing,7,2019,-0.28612789285714285,51.50154989285714,7,7,0,2,5,30,1,3,6,6
E09000009,Ealing,7,2020,-0.28612789285714285,51.50154989285714,7,8,0,0,7,30,1,3,6,6
E09000009,Ealing,7,2021,-0.28612789285714285,51.50154989285714,8,8,0,1,7,30,1,3,6,6
E09000009,Ealing,7,2022,-0.28612789285714285,51.50154989285714,15,18,0,3,12,30,1,3,6,6
E09000009,Ealing,7,2023,-0.28612789285714285,51.50154989285714,12,14,0,3,9,30,1,3,6,6
E09000009,Ealing,7,2024,-0.28612789285714285,51.50154989285714,8,13,0,0,0,30,1,3,6,6
E09000009,Ealing,7,2025,-0.28612789285714285,51.50154989285714,5,6,0,0,0,30,1,3,6,6
E09000009,Ealing,8,2019,-0.38431343209876545,51.50082181481481,15,18,0,3,12,20,1,5,6,3
E09000009,Ealing,8,2020,-0.38431343209876545,51.50082181481481,8,9,0,1,7,20,1,5,6,3
E09000009,Ealing,8,2021,-0.38431343209876545,51.50082181481481,8,12,0,2,6,20,1,5,6,3
E09000009,Ealing,8,2022,-0.38431343209876545,51.50082181481481,11,11,0,1,10,20,1,5,6,3
E09000009,Ealing,8,2023,-0.38431343209876545,51.50082181481481,15,16,0,4,11,20,1,5,6,3
E09000009,Ealing,8,2024,-0.38431343209876545,51.50082181481481,12,13,0,0,0,20,1,5,6,3
E09000009,Ealing,8,2025,-0.38431343209876545,51.50082181481481,9,11,0,0,0,20,1,5,6,3
E09000009,Ealing,9,2019,-0.3755001851851852,51.51882696296296,7,12,0,1,6,20,1,5,6,3
E09000009,Ealing,9,2020,-0.3755001851851852,51.51882696296296,6,7,0,2,4,20,1,5,6,3
E09000009,Ealing,9,2021,-0.3755001851851852,51.51882696296296,3,3,0,0,3,20,1,5,6,3
E09000009,Ealing,9,2022,-0.3755001851851852,51.51882696296296,3,4,0,0,3,20,1,5,6,3
E09000009,Ealing,9,2023,-0.3755001851851852,51.51882696296296,5,5,0,0,5,20,1,5,6,3
E09000009,Ealing,9,2024,-0.3755001851851852,51.51882696296296,4,4,0,0,0,20,1,5,6,3
E09000009,Ealing,9,2025,-0.3755001851851852,51.51882696296296,1,1,0,0,0,20,1,5,6,3
E09000009,Ealing,10,2019,-0.3749354659090909,51.511070034090906,17,20,0,3,14,20,1,3,6,3
E09000009,Ealing,10,2020,-0.3749354659090909,51.511070034090906,20,23,1,1,18,20,1,3,6,3
E09000009,Ealing,10,2021,-0.3749354659090909,51.511070034090906,14,20,0,1,13,20,1,3,6,3
E09000009,Ealing,10,2022,-0.3749354659090909,51.511070034090906,24,25,0,2,22,20,1,3,6,3
E09000009,Ealing,10,2023,-0.3749354659090909,51.511070034090906,15,15,0,1,14,20,1,3,6,3
E09000009,Ealing,10,2024,-0.3749354659090909,51.511070034090906,12,13,0,0,0,20,1,3,6,3
E09000009,Ealing,10,2025,-0.3749354659090909,51.511070034090906,8,8,0,0,0,20,1,3,6,3
E09000009,Ealing,11,2019,-0.2642334,51.526853966666664,2,2,0,1,1,20,1,4,6,3
E09000009,Ealing,11,2020,-0.2642334,51.526853966666664,5,6,0,0,5,20,1,4,6,3
E09000009,Ealing,11,2021,-0.2642334,51.526853966666664,5,5,0,1,4,20,1,4,6,3
E09000009,Ealing,11,2022,-0.2642334,51.526853966666664,3,3,0,0,3,20,1,4,6,3
E09000009,Ealing,11,2023,-0.2642334,51.526853966666664,8,8,0,2,6,20,1,4,6,3
E09000009,Ealing,11,2024,-0.2642334,51.526853966666664,3,3,0,0,0,20,1,4,6,3
E09000009,Ealing,11,2025,-0.2642334,51.526853966666664,6,7,0,0,0,20,1,4,6,3
E09000009,Ealing,12,2019,-0.3779123269230769,51.54266810576923,16,19,0,1,15,30,1,3,1,1
E09000009,Ealing,12,2020,-0.3779123269230769,51.54266810576923,22,28,0,1,21,30,1,3,1,1
E09000009,Ealing,12,2021,-0.3779123269230769,51.54266810576923,22,27,0,3,19,30,1,3,1,1
E09000009,Ealing,12,2022,-0.3779123269230769,51.54266810576923,13,15,0,2,11,30,1,3,1,1
E09000009,Ealing,12,2023,-0.3779123269230769,51.54266810576923,24,30,0,2,22,30,1,3,1,1
E09000009,Ealing,12,2024,-0.3779123269230769,51.54266810576923,10,16,0,0,0,30,1,3,1,1
E09000009,Ealing,12,2025,-0.3779123269230769,51.54266810576923,7,7,0,0,0,30,1,3,1,1
E09000009,Ealing,13,2019,-0.2921023260869565,51.51665302173913,5,5,0,2,3,30,1,3,6,3
E09000009,Ealing,13,2020,-0.2921023260869565,51.51665302173913,7,12,0,0,7,30,1,3,6,3
E09000009,Ealing,13,2021,-0.2921023260869565,51.51665302173913,22,24,0,3,19,30,1,3,6,3
E09000009,Ealing,13,2022,-0.2921023260869565,51.51665302173913,12,16,0,1,11,30,1,3,6,3
E09000009,Ealing,13,2023,-0.2921023260869565,51.51665302173913,8,8,0,1,7,30,1,3,6,3
E09000009,Ealing,13,2024,-0.2921023260869565,51.51665302173913,4,4,0,0,0,30,1,3,6,3
E09000009,Ealing,13,2025,-0.2921023260869565,51.51665302173913,1,1,0,0,0,30,1,3,6,3
E09000009,Ealing,14,2019,-0.3409156071428571,51.508115714285715,6,7,0,1,5,20,1,3,6,0
E09000009,Ealing,14,2020,-0.3409156071428571,51.508115714285715,4,4,0,3,1,20,1,3,6,0
E09000009,Ealing,14,2021,-0.3409156071428571,51.508115714285715,7,7,0,1,6,20,1,3,6,0
