la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000020,Kensington and Chelsea,1,2019,-0.17257924193548388,51.49600379032258,16,17,0,3,13,20,1,3,6,3
E09000020,Kensington and Chelsea,1,2020,-0.17257924193548388,51.49600379032258,9,9,0,1,8,20,1,3,6,3
E09000020,Kensington and Chelsea,1,2021,-0.17257924193548388,51.49600379032258,7,7,0,2,5,20,1,3,6,3
E09000020,Kensington and Chelsea,1,2022,-0.17257924193548388,51.49600379032258,8,9,0,1,7,20,1,3,6,3
E09000020,Kensington and Chelsea,1,2023,-0.17257924193548388,51.49600379032258,9,10,0,3,6,20,1,3,6,3
E09000020,Kensington and Chelsea,1,2024,-0.17257924193548388,51.49600379032258,11,11,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,1,2025,-0.17257924193548388,51.49600379032258,2,2,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,2,2019,-0.184910875,51.482464934782605,25,25,0,3,22,30,1,3,6,3
E09000020,Kensington and Chelsea,2,2020,-0.184910875,51.482464934782605,27,33,0,3,24,30,1,3,6,3
E09000020,Kensington and Chelsea,2,2021,-0.184910875,51.482464934782605,31,32,1,11,19,30,1,3,6,3
E09000020,Kensington and Chelsea,2,2022,-0.184910875,51.482464934782605,39,41,1,10,28,30,1,3,6,3
E09000020,Kensington and Chelsea,2,2023,-0.184910875,51.482464934782605,25,26,0,4,21,30,1,3,6,3
E09000020,Kensington and Chelsea,2,2024,-0.184910875,51.482464934782605,21,24,0,0,0,30,1,3,6,3
E09000020,Kensington and Chelsea,2,2025,-0.184910875,51.482464934782605,16,18,0,0,0,30,1,3,6,3
E09000020,Kensington and Chelsea,3,2019,-0.18626305714285715,51.4946228,10,13,0,1,9,30,1,6,6,0
E09000020,Kensington and Chelsea,3,2020,-0.18626305714285715,51.4946228,6,7,0,0,6,30,1,6,6,0
E09000020,Kensington and Chelsea,3,2021,-0.18626305714285715,51.4946228,2,2,0,0,2,30,1,6,6,0
E09000020,Kensington and Chelsea,3,2022,-0.18626305714285715,51.4946228,3,3,0,0,3,30,1,6,6,0
E09000020,Kensington and Chelsea,3,2023,-0.18626305714285715,51.4946228,6,6,0,2,4,30,1,6,6,0
E09000020,Kensington and Chelsea,3,2024,-0.18626305714285715,51.4946228,6,6,0,0,0,30,1,6,6,0
E09000020,Kensington and Chelsea,3,2025,-0.18626305714285715,51.4946228,2,3,0,0,0,30,1,6,6,0
E09000020,Kensington and Chelsea,4,2019,-0.16107233766233767,51.50014587012987,14,15,0,3,11,20,1,3,6,3
E09000020,Kensington and Chelsea,4,2020,-0.16107233766233767,51.50014587012987,9,10,0,3,6,20,1,3,6,3
E09000020,Kensington and Chelsea,4,2021,-0.16107233766233767,51.50014587012987,10,10,0,1,9,20,1,3,6,3
E09000020,Kensington and Chelsea,4,2022,-0.16107233766233767,51.50014587012987,8,8,0,0,8,20,1,3,6,3
E09000020,Kensington and Chelsea,4,2023,-0.16107233766233767,51.50014587012987,15,15,0,5,10,20,1,3,6,3
E09000020,Kensington and Chelsea,4,2024,-0.16107233766233767,51.50014587012987,16,18,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,4,2025,-0.16107233766233767,51.50014587012987,5,5,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,5,2019,-0.17849646153846155,51.49473288461538,12,14,0,4,8,30,1,5,6,6
E09000020,Kensington and Chelsea,5,2020,-0.17849646153846155,51.49473288461538,10,12,0,0,10,30,1,5,6,6
E09000020,Kensington and Chelsea,5,2021,-0.17849646153846155,51.49473288461538,9,10,0,1,8,30,1,5,6,6
E09000020,Kensington and Chelsea,5,2022,-0.17849646153846155,51.49473288461538,6,10,0,0,6,30,1,5,6,6
E09000020,Kensington and Chelsea,5,2023,-0.17849646153846155,51.49473288461538,6,10,0,1,5,30,1,5,6,6
E09000020,Kensington and Chelsea,5,2024,-0.17849646153846155,51.49473288461538,5,6,0,0,0,30,1,5,6,6
E09000020,Kensington and Chelsea,5,2025,-0.17849646153846155,51.49473288461538,4,4,0,0,0,30,1,5,6,6
E09000020,Kensington and Chelsea,6,2019,-0.18670683333333332,51.5019231,9,11,0,0,9,20,1,3,6,3
E09000020,Kensington and Chelsea,6,2020,-0.18670683333333332,51.5019231,6,7,0,0,6,20,1,3,6,3
E09000020,Kensington and Chelsea,6,2021,-0.18670683333333332,51.5019231,9,10,0,0,9,20,1,3,6,3
E09000020,Kensington and Chelsea,6,2022,-0.18670683333333332,51.5019231,10,10,0,3,7,20,1,3,6,3
E09000020,Kensington and Chelsea,6,2023,-0.18670683333333332,51.5019231,16,16,1,5,10,20,1,3,6,3
E09000020,Kensington and Chelsea,6,2024,-0.18670683333333332,51.5019231,8,9,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,6,2025,-0.18670683333333332,51.5019231,2,2,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,7,2019,-0.17296835802469135,51.482264432098766,14,14,0,1,13,20,1,3,6,6
E09000020,Kensington and Chelsea,7,2020,-0.17296835802469135,51.482264432098766,12,12,0,1,11,20,1,3,6,6
E09000020,Kensington and Chelsea,7,2021,-0.17296835802469135,51.482264432098766,17,18,1,3,13,20,1,3,6,6
E09000020,Kensington and Chelsea,7,2022,-0.17296835802469135,51.482264432098766,10,10,0,3,7,20,1,3,6,6
E09000020,Kensington and Chelsea,7,2023,-0.17296835802469135,51.482264432098766,11,13,1,4,6,20,1,3,6,6
E09000020,Kensington and Chelsea,7,2024,-0.17296835802469135,51.482264432098766,13,13,0,0,0,20,1,3,6,6
E09000020,Kensington and Chelsea,7,2025,-0.17296835802469135,51.482264432098766,4,5,0,0,0,20,1,3,6,6
E09000020,Kensington and Chelsea,8,2019,-0.16946538181818185,51.48724963636363,8,9,0,2,6,20,1,3,6,3
E09000020,Kensington and Chelsea,8,2020,-0.16946538181818185,51.48724963636363,9,9,0,2,7,20,1,3,6,3
E09000020,Kensington and Chelsea,8,2021,-0.16946538181818185,51.48724963636363,6,6,0,0,6,20,1,3,6,3
E09000020,Kensington and Chelsea,8,2022,-0.16946538181818185,51.48724963636363,5,5,0,1,4,20,1,3,6,3
E09000020,Kensington and Chelsea,8,2023,-0.16946538181818185,51.48724963636363,11,14,0,3,8,20,1,3,6,3
E09000020,Kensington and Chelsea,8,2024,-0.16946538181818185,51.48724963636363,10,10,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,8,2025,-0.16946538181818185,51.48724963636363,6,6,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,9,2019,-0.17895192105263158,51.48106294736842,10,10,0,2,8,20,1,3,6,3
E09000020,Kensington and Chelsea,9,2020,-0.17895192105263158,51.48106294736842,15,15,0,1,14,20,1,3,6,3
E09000020,Kensington and Chelsea,9,2021,-0.17895192105263158,51.48106294736842,8,12,0,1,7,20,1,3,6,3
E09000020,Kensington and Chelsea,9,2022,-0.17895192105263158,51.48106294736842,11,12,0,3,8,20,1,3,6,3
E09000020,Kensington and Chelsea,9,2023,-0.17895192105263158,51.48106294736842,15,16,0,6,9,20,1,3,6,3
E09000020,Kensington and Chelsea,9,2024,-0.17895192105263158,51.48106294736842,10,10,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,9,2025,-0.17895192105263158,51.48106294736842,7,7,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,10,2019,-0.21565513333333333,51.52655685,12,15,0,2,10,30,1,4,6,0
E09000020,Kensington and Chelsea,10,2020,-0.21565513333333333,51.52655685,15,15,0,3,12,30,1,4,6,0
E09000020,Kensington and Chelsea,10,2021,-0.21565513333333333,51.52655685,7,8,0,1,6,30,1,4,6,0
E09000020,Kensington and Chelsea,10,2022,-0.21565513333333333,51.52655685,5,5,0,1,4,30,1,4,6,0
E09000020,Kensington and Chelsea,10,2023,-0.21565513333333333,51.52655685,10,10,0,2,8,30,1,4,6,0
E09000020,Kensington and Chelsea,10,2024,-0.21565513333333333,51.52655685,7,9,0,0,0,30,1,4,6,0
E09000020,Kensington and Chelsea,10,2025,-0.21565513333333333,51.52655685,4,4,0,0,0,30,1,4,6,0
E09000020,Kensington and Chelsea,11,2019,-0.20480240833333332,51.497229016666665,27,35,1,5,21,20,1,3,6,6
E09000020,Kensington and Chelsea,11,2020,-0.20480240833333332,51.497229016666665,13,16,0,2,11,20,1,3,6,6
E09000020,Kensington and Chelsea,11,2021,-0.20480240833333332,51.497229016666665,20,24,0,1,19,20,1,3,6,6
E09000020,Kensington and Chelsea,11,2022,-0.20480240833333332,51.497229016666665,20,20,0,3,17,20,1,3,6,6
E09000020,Kensington and Chelsea,11,2023,-0.20480240833333332,51.497229016666665,18,18,0,1,17,20,1,3,6,6
E09000020,Kensington and Chelsea,11,2024,-0.20480240833333332,51.497229016666665,16,17,0,0,0,20,1,3,6,6
E09000020,Kensington and Chelsea,11,2025,-0.20480240833333332,51.497229016666665,6,7,0,0,0,20,1,3,6,6
E09000020,Kensington and Chelsea,12,2019,-0.158834126984127,51.497635238095235,14,16,0,1,13,20,1,4,6,6
E09000020,Kensington and Chelsea,12,2020,-0.158834126984127,51.497635238095235,7,7,0,0,7,20,1,4,6,6
E09000020,Kensington and Chelsea,12,2021,-0.158834126984127,51.497635238095235,5,6,0,0,5,20,1,4,6,6
E09000020,Kensington and Chelsea,12,2022,-0.158834126984127,51.497635238095235,16,17,0,4,12,20,1,4,6,6
E09000020,Kensington and Chelsea,12,2023,-0.158834126984127,51.497635238095235,5,6,0,1,4,20,1,4,6,6
E09000020,Kensington and Chelsea,12,2024,-0.158834126984127,51.497635238095235,10,10,0,0,0,20,1,4,6,6
E09000020,Kensington and Chelsea,12,2025,-0.158834126984127,51.497635238095235,6,6,0,0,0,20,1,4,6,6
E09000020,Kensington and Chelsea,13,2019,-0.19298066666666663,51.509402083333335,15,16,0,2,13,20,1,3,6,3
E09000020,Kensington and Chelsea,13,2020,-0.19298066666666663,51.509402083333335,7,7,0,0,7,20,1,3,6,3
E09000020,Kensington and Chelsea,13,2021,-0.19298066666666663,51.509402083333335,10,10,0,1,9,20,1,3,6,3
E09000020,Kensington and Chelsea,13,2022,-0.19298066666666663,51.509402083333335,25,29,0,1,24,20,1,3,6,3
E09000020,Kensington and Chelsea,13,2023,-0.19298066666666663,51.509402083333335,5,5,0,0,5,20,1,3,6,3
E09000020,Kensington and Chelsea,13,2024,-0.19298066666666663,51.509402083333335,8,8,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,13,2025,-0.19298066666666663,51.509402083333335,14,16,0,0,0,20,1,3,6,3
E09000020,Kensington and Chelsea,14,2019,-0.18088744,51.49840648,6,6,0,1,5,20,1,5,6,3
E09000020,Kensington and Chelsea,14,2020,-0.18088744,51.49840648,7,8,0,2,5,20,1,5,6,3
E09000020,Kensington and Chelsea,14,2021,-0.18088744,51.49840648,0,0,0,0,0,20,1,5,6,3
E09000020,Kensington and Chelsea,14,2022,-0.18088744,51.49840648,7,7,0,1,6,20,1,5,6,3
E09000020,Kensington and Chelsea,14,2023,-0.18088744,51.49840648,0,0,0,0,0,20,1,5,6,3
E09000020,Kensington and Chelsea,14,2024,-0.18088744,51.49840648,0,0,0,0,0,20,1,5,6,3
E09000020,Kensington and Chelsea,14,2025,-0.18088744,51.49840648,5,6,0,0,0,20,1,5,6,3
E09000020,Kensington and Chelsea,15,2019,-0.21473454545454543,51.51797115909091,10,12,0,0,10,20,1,4,6,0
E09000020,Kensington and Chelsea,15,2020,-0.21473454545454543,51.51797115909091,6,9,0,1,5,20,1,4,6,0
E09000020,Kensington and Chelsea,15,2021,-0.21473454545454543,51.51797115909091,7,7,0,1,6,20,1,4,6,0
E09000020,Kensington and Chelsea,15,2022,-0.21473454545454543,51.51797115909091,7,7,0,0,7,20,1,4,6,0
E09000020,Kensington and Chelsea,15,2023,-0.21473454545454543,51.51797115909091,4,4,0,0,4,20,1,4,6,0
E09000020,Kensington and Chelsea,15,2024,-0.21473454545454543,51.51797115909091,7,7,0,0,0,20,1,4,6,0
E09000020,Kensington and Chelsea,15,2025,-0.21473454545454543,51.51797115909091,3,4,0,0,0,20,1,4,6,0
E09000020,Kensington and Chelsea,16,2019,-0.21085681196581196,51.51986294871795,14,14,0,3,11,20,1,4,6,6
E09000020,Kensington and Chelsea,16,2020,-0.21085681196581196,51.51986294871795,21,23,0,1,20,20,1,4,6,6
E09000020,Kensington and Chelsea,16,2021,-0.21085681196581196,51.51986294871795,20,20,0,2,18,20,1,4,6,6
E09000020,Kensington and Chelsea,16,2022,-0.21085681196581196,51.51986294871795,12,12,0,2,10,20,1,4,6,6
E09000020,Kensington and Chelsea,16,2023,-0.21085681196581196,51.51986294871795,26,27,0,3,23,20,1,4,6,6
E09000020,Kensington and Chelsea,16,2024,-0.21085681196581196,51.51986294871795,14,14,0,0,0,20,1,4,6,6
E09000020,Kensington and Chelsea,16,2025,-0.21085681196581196,51.51986294871795,10,11,0,0,0,20,1,4,6,6
E09000020,Kensington and Chelsea,17,2019,-0.19977833333333336,51.49251959090909,9,10,0,1,8,30,1,3,3,6
E09000020,Kensington and Chelsea,17,2020,-0.19977833333333336,51.49251959090909,10,14,0,1,9,30,1,3,3,6
E09000020,Kensington and Chelsea,17,2021,-0.19977833333333336,51.49251959090909,12,12,0,1,11,30,1,3,3,6
E09000020,Kensington and Chelsea,17,2022,-0.19977833333333336,51.49251959090909,9,10,1,1,7,30,1,3,3,6
E09000020,Kensington and Chelsea,17,2023,-0.19977833333333336,51.49251959090909,10,16,1,2,7,30,1,3,3,6
E09000020,Kensington and Chelsea,17,2024,-0.19977833333333336,51.49251959090909,13,14,0,0,0,30,1,3,3,6
E09000020,Kensington and Chelsea,17,2025,-0.19977833333333336,51.49251959090909,3,3,0,0,0,30,1,3,3,6
E09000020,Kensington and Chelsea,18,2019,-0.18326757142857145,51.49567522857143,21,21,0,1,20,30,1,3,6,6
E09000020,Kensington and Chelsea,18,2020,-0.18326757142857145,51.49567522857143,5,6,0,1,4,30,1,3,6,6
E09000020,Kensington and Chelsea,18,2021,-0.18326757142857145,51.49567522857143,10,11,0,2,8,30,1,3,6,6
E09000020,Kensington and Chelsea,18,2022,-0.18326757142857145,51.49567522857143,11,11,0,1,10,30,1,3,6,6
E09000020,Kensington and Chelsea,18,2023,-0.18326757142857145,51.49567522857143,9,9,0,1,8,30,1,3,6,6
E09000020,Kensington and Chelsea,18,2024,-0.18326757142857145,51.49567522857143,8,8,0,0,0,30,1,3,6,6
E09000020,Kensington and Chelsea,18,2025,-0.18326757142857145,51.49567522857143,6,6,0,0,0,30,1,3,6,6
E09000020,Kensington and Chelsea,19,2019,-0.216663125,51.5112418125,5,6,0,1,4,20,1,6,6,3
E09000020,Kensington and Chelsea,19,2020,-0.216663125,51.5112418125,5,5,0,0,5,20,1,6,6,3
E09000020,Kensington and Chelsea,19,2021,-0.216663125,51.5112418125,6,7,0,0,6,20,1,6,6,3
E09000020,Kensington and Chelsea,19,2022,-0.216663125,51.5112418125,3,3,0,1,2,20,1,6,6,3
E09000020,Kensington and Chelsea,19,2023,-0.216663125,51.5112418125,5,5,0,1,4,20,1,6,6,3
E09000020,Kensington and Chelsea,19,2024,-0.216663125,51.5112418125,4,4,0,0,0,20,1,6,6,3
E09000020,Kensington and Chelsea,19,2025,-0.216663125,51.5112418125,4,4,0,0,0,20,1,6,6,3
E09000020,Kensington and Chelsea,20,2019,-0.1892930810810811,51.49245016216216,8,8,0,1,7,20,1,5,6,2
E09000020,Kensington and Chelsea,20,2020,-0.1892930810810811,51.49245016216216,5,5,0,1,4,20,1,5,6,2
E09000020,Kensington and Chelsea,20,2021,-0.1892930810810811,51.49245016216216,6,7,0,0,6,20,1,5,6,2
E09000020,Kensington and Chelsea,20,2022,-0.1892930810810811,51.49245016216216,7,7,0,2,5,20,1,5,6,2
