la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000058,Cheshire East,1,2019,-1.7598523888888888,50.73670655555556,2,2,1,0,1,30,1,4,6,1
E06000058,Cheshire East,1,2020,-1.7598523888888888,50.73670655555556,2,2,0,0,2,30,1,4,6,1
E06000058,Cheshire East,1,2021,-1.7598523888888888,50.73670655555556,5,5,0,2,3,30,1,4,6,1
E06000058,Cheshire East,1,2022,-1.7598523888888888,50.73670655555556,7,9,0,3,4,30,1,4,6,1
E06000058,Cheshire East,1,2023,-1.7598523888888888,50.73670655555556,2,2,0,0,2,30,1,4,6,1
E06000058,Cheshire East,1,2024,-1.7598523888888888,50.73670655555556,0,0,0,0,0,30,1,4,6,1
E06000058,Cheshire East,2,2019,-1.817538125,50.7344735625,4,4,0,0,4,30,1,3,6,3
E06000058,Cheshire East,2,2020,-1.817538125,50.7344735625,3,3,0,0,3,30,1,3,6,3
E06000058,Cheshire East,2,2021,-1.817538125,50.7344735625,5,5,0,2,3,30,1,3,6,3
E06000058,Cheshire East,2,2022,-1.817538125,50.7344735625,1,1,0,0,1,30,1,3,6,3
E06000058,Cheshire East,2,2023,-1.817538125,50.7344735625,3,3,0,0,3,30,1,3,6,3
E06000058,Cheshire East,2,2024,-1.817538125,50.7344735625,0,0,0,0,0,30,1,3,6,3
E06000058,Cheshire East,3,2019,-1.8611495833333336,50.74864158333333,2,3,0,0,2,30,1,4,6,6
E06000058,Cheshire East,3,2020,-1.8611495833333336,50.74864158333333,0,0,0,0,0,30,1,4,6,6
E06000058,Cheshire East,3,2021,-1.8611495833333336,50.74864158333333,3,6,0,1,2,30,1,4,6,6
E06000058,Cheshire East,3,2022,-1.8611495833333336,50.74864158333333,3,3,0,0,3,30,1,4,6,6
E06000058,Cheshire East,3,2023,-1.8611495833333336,50.74864158333333,4,4,0,1,3,30,1,4,6,6
E06000058,Cheshire East,3,2024,-1.8611495833333336,50.74864158333333,0,0,0,0,0,30,1,4,6,6
E06000058,Cheshire East,4,2019,-1.9707566666666667,50.738629857142854,5,6,0,1,4,30,1,6,6,0
E06000058,Cheshire East,4,2020,-1.9707566666666667,50.738629857142854,2,2,0,0,2,30,1,6,6,0
E06000058,Cheshire East,4,2021,-1.9707566666666667,50.738629857142854,4,5,0,0,4,30,1,6,6,0
E06000058,Cheshire East,4,2022,-1.9707566666666667,50.738629857142854,5,6,0,1,4,30,1,6,6,0
E06000058,Cheshire East,4,2023,-1.9707566666666667,50.738629857142854,5,8,0,0,5,30,1,6,6,0
E06000058,Cheshire East,4,2024,-1.9707566666666667,50.738629857142854,0,0,0,0,0,30,1,6,6,0
E06000058,Cheshire East,5,2019,-1.950320739130435,50.730137434782606,7,12,0,0,7,30,1,4,6,3
E06000058,Cheshire East,5,2020,-1.950320739130435,50.730137434782606,3,3,0,2,1,30,1,4,6,3
E06000058,Cheshire East,5,2021,-1.950320739130435,50.730137434782606,6,6,0,5,1,30,1,4,6,3
E06000058,Cheshire East,5,2022,-1.950320739130435,50.730137434782606,6,6,0,2,4,30,1,4,6,3
E06000058,Cheshire East,5,2023,-1.950320739130435,50.730137434782606,1,1,0,0,1,30,1,4,6,3
E06000058,Cheshire East,5,2024,-1.950320739130435,50.730137434782606,0,0,0,0,0,30,1,4,6,3
E06000058,Cheshire East,6,2019,-1.860538888888889,50.735232555555555,7,12,0,0,7,30,1,6,6,6
E06000058,Cheshire East,6,2020,-1.860538888888889,50.735232555555555,4,4,0,0,4,30,1,6,6,6
E06000058,Cheshire East,6,2021,-1.860538888888889,50.735232555555555,1,1,0,1,0,30,1,6,6,6
E06000058,Cheshire East,6,2022,-1.860538888888889,50.735232555555555,4,6,0,1,3,30,1,6,6,6
E06000058,Cheshire East,6,2023,-1.860538888888889,50.735232555555555,2,5,0,0,2,30,1,6,6,6
E06000058,Cheshire East,6,2024,-1.860538888888889,50.735232555555555,0,0,0,0,0,30,1,6,6,6
E06000058,Cheshire East,7,2019,-1.950194,50.734394555555554,3,3,0,2,1,30,1,4,6,3
E06000058,Cheshire East,7,2020,-1.950194,50.734394555555554,1,1,0,0,1,30,1,4,6,3
E06000058,Cheshire East,7,2021,-1.950194,50.734394555555554,1,1,0,0,1,30,1,4,6,3
E06000058,Cheshire East,7,2022,-1.950194,50.734394555555554,3,3,0,1,2,30,1,4,6,3
E06000058,Cheshire East,7,2023,-1.950194,50.734394555555554,1,1,0,0,1,30,1,4,6,3
E06000058,Cheshire East,7,2024,-1.950194,50.734394555555554,0,0,0,0,0,30,1,4,6,3
E06000058,Cheshire East,8,2019,-1.8208834,50.744825866666666,4,7,0,0,4,40,1,3,6,6
E06000058,Cheshire East,8,2020,-1.8208834,50.744825866666666,2,2,0,1,1,40,1,3,6,6
E06000058,Cheshire East,8,2021,-1.8208834,50.744825866666666,3,3,0,0,3,40,1,3,6,6
E06000058,Cheshire East,8,2022,-1.8208834,50.744825866666666,2,2,0,0,2,40,1,3,6,6
E06000058,Cheshire East,8,2023,-1.8208834,50.744825866666666,4,4,0,1,3,40,1,3,6,6
E06000058,Cheshire East,8,2024,-1.8208834,50.744825866666666,0,0,0,0,0,40,1,3,6,6
E06000058,Cheshire East,9,2019,-1.83402075,50.7454055,3,4,0,0,3,30,1,6,6,3
E06000058,Cheshire East,9,2020,-1.83402075,50.7454055,3,5,0,0,3,30,1,6,6,3
E06000058,Cheshire East,9,2021,-1.83402075,50.7454055,1,1,0,0,1,30,1,6,6,3
E06000058,Cheshire East,9,2022,-1.83402075,50.7454055,0,0,0,0,0,30,1,6,6,3
E06000058,Cheshire East,9,2023,-1.83402075,50.7454055,1,1,0,0,1,30,1,6,6,3
E06000058,Cheshire East,9,2024,-1.83402075,50.7454055,0,0,0,0,0,30,1,6,6,3
E06000058,Cheshire East,10,2019,-1.844666666666667,50.735106466666664,7,7,0,2,5,30,1,3,6,3
E06000058,Cheshire East,10,2020,-1.844666666666667,50.735106466666664,3,3,0,1,2,30,1,3,6,3
E06000058,Cheshire East,10,2021,-1.844666666666667,50.735106466666664,2,2,0,1,1,30,1,3,6,3
E06000058,Cheshire East,10,2022,-1.844666666666667,50.735106466666664,1,1,0,0,1,30,1,3,6,3
E06000058,Cheshire East,10,2023,-1.844666666666667,50.735106466666664,2,2,0,0,2,30,1,3,6,3
E06000058,Cheshire East,10,2024,-1.844666666666667,50.735106466666664,0,0,0,0,0,30,1,3,6,3
E06000058,Cheshire East,11,2019,-1.8740364375,50.7614965625,2,2,0,1,1,30,1,3,6,1
E06000058,Cheshire East,11,2020,-1.8740364375,50.7614965625,4,4,0,2,2,30,1,3,6,1
E06000058,Cheshire East,11,2021,-1.8740364375,50.7614965625,3,3,0,0,3,30,1,3,6,1
E06000058,Cheshire East,11,2022,-1.8740364375,50.7614965625,5,5,0,0,5,30,1,3,6,1
E06000058,Cheshire East,11,2023,-1.8740364375,50.7614965625,2,2,0,0,2,30,1,3,6,1
E06000058,Cheshire East,11,2024,-1.8740364375,50.7614965625,0,0,0,0,0,30,1,3,6,1
E06000058,Cheshire East,12,2019,-1.8868786,50.7506864,5,7,0,1,4,30,1,3,6,3
E06000058,Cheshire East,12,2020,-1.8868786,50.7506864,5,5,0,0,5,30,1,3,6,3
E06000058,Cheshire East,12,2021,-1.8868786,50.7506864,3,3,0,0,3,30,1,3,6,3
E06000058,Cheshire East,12,2022,-1.8868786,50.7506864,2,2,0,1,1,30,1,3,6,3
E06000058,Cheshire East,12,2023,-1.8868786,50.7506864,5,6,0,1,4,30,1,3,6,3
E06000058,Cheshire East,12,2024,-1.8868786,50.7506864,0,0,0,0,0,30,1,3,6,3
E06000058,Cheshire East,13,2019,-1.8493775714285712,50.73310107142857,9,10,0,2,7,30,1,3,6,3
E06000058,Cheshire East,13,2020,-1.8493775714285712,50.73310107142857,6,7,0,1,5,30,1,3,6,3
E06000058,Cheshire East,13,2021,-1.8493775714285712,50.73310107142857,8,8,0,1,7,30,1,3,6,3
E06000058,Cheshire East,13,2022,-1.8493775714285712,50.73310107142857,7,7,0,1,6,30,1,3,6,3
E06000058,Cheshire East,13,2023,-1.8493775714285712,50.73310107142857,12,12,0,0,12,30,1,3,6,3
E06000058,Cheshire East,13,2024,-1.8493775714285712,50.73310107142857,0,0,0,0,0,30,1,3,6,3
E06000058,Cheshire East,14,2019,-1.99838,50.7632002,4,6,0,1,3,30,1,4,6,1
E06000058,Cheshire East,14,2020,-1.99838,50.7632002,3,4,0,0,3,30,1,4,6,1
E06000058,Cheshire East,14,2021,-1.99838,50.7632002,0,0,0,0,0,30,1,4,6,1
E06000058,Cheshire East,14,2022,-1.99838,50.7632002,1,1,0,0,1,30,1,4,6,1
E06000058,Cheshire East,14,2023,-1.99838,50.7632002,2,2,0,0,2,30,1,4,6,1
E06000058,Cheshire East,14,2024,-1.99838,50.7632002,0,0,0,0,0,30,1,4,6,1
E06000058,Cheshire East,15,2019,-1.9786366333333336,50.720235933333335,8,9,0,2,6,30,1,4,6,1
E06000058,Cheshire East,15,2020,-1.9786366333333336,50.720235933333335,4,5,0,0,4,30,1,4,6,1
E06000058,Cheshire East,15,2021,-1.9786366333333336,50.720235933333335,9,9,0,2,7,30,1,4,6,1
E06000058,Cheshire East,15,2022,-1.9786366333333336,50.720235933333335,5,5,0,2,3,30,1,4,6,1
E06000058,Cheshire East,15,2023,-1.9786366333333336,50.720235933333335,4,4,0,0,4,30,1,4,6,1
E06000058,Cheshire East,15,2024,-1.9786366333333336,50.720235933333335,0,0,0,0,0,30,1,4,6,1
E06000058,Cheshire East,16,2019,-1.9335513888888889,50.75288580555556,7,7,0,0,7,40,1,3,3,1
E06000058,Cheshire East,16,2020,-1.9335513888888889,50.75288580555556,7,7,0,1,6,40,1,3,3,1
E06000058,Cheshire East,16,2021,-1.9335513888888889,50.75288580555556,5,6,0,3,2,40,1,3,3,1
